Problem Number,Problem Name,Difficulty,Top 75,Top 150,DB 50,Database
127,Word Ladder,Hard,N,Y,N,N
128,Longest Consecutive Sequence,Medium,N,Y,N,N
129,Sum Root To Leaf Numbers,Medium,N,Y,N,N
130,Surrounded Regions,Medium,N,Y,N,N
131,Palindrome Partitioning,Medium,N,N,N,N
132,Palindrome Partitioning II,Hard,N,N,N,N
133,Clone Graph,Medium,N,Y,N,N
134,Gas Station,Medium,N,Y,N,N
135,Candy,Hard,N,Y,N,N
136,Single Number,Easy,Y,Y,N,N
137,Single Number II,Medium,N,Y,N,N
138,Copy List With Random Pointer,Medium,N,Y,N,N
139,Word Break,Medium,N,Y,N,N
140,Word Break II,Hard,N,N,N,N
141,Linked List Cycle,Easy,N,Y,N,N
142,Linked List Cycle II,Medium,N,N,N,N
143,Reorder List,Medium,N,N,N,N
144,Binary Tree Preorder Traversal,Easy,N,N,N,N
145,Binary Tree Postorder Traversal,Easy,N,N,N,N
146,LRU Cache,Medium,N,Y,N,N
147,Insertion Sort List,Medium,N,N,N,N
148,Sort List,Medium,N,Y,N,N
149,Max Points On A Line,Hard,N,Y,N,N
150,Evaluate Reverse Polish Notation,Medium,N,Y,N,N
151,Reverse Words In A String,Medium,Y,Y,N,N
152,Maximum Product Subarray,Medium,N,N,N,N
153,Find Minimum In Rotated Sorted Array,Medium,N,Y,N,N
154,Find Minimum In Rotated Sorted Array II,Hard,N,N,N,N
155,Min Stack,Easy,N,Y,N,N
160,Intersection Of Two Linked Lists,Easy,N,N,N,N
162,Find Peak Element,Medium,Y,Y,N,N
164,Maximum Gap,Hard,N,N,N,N
165,Compare Version Numbers,Medium,N,N,N,N
166,Fraction To Recurring Decimal,Medium,N,N,N,N
167,Two Sum II - Input Array Is Sorted,Easy,N,Y,N,N
168,Excel Sheet Column Title,Easy,N,N,N,N
169,Majority Element,Easy,N,Y,N,N
171,Excel Sheet Column Number,Easy,N,N,N,N
172,Factorial Trailing Zeroes,Medium,N,Y,N,N
173,Binary Search Tree Iterator,Medium,N,Y,N,N
174,Dungeon Game,Hard,N,N,N,N
175,Combine Two Tables,Easy,N,N,N,Y
176,Second Highest Salary,Medium,N,N,Y,Y
177,Nth Highest Salary,Medium,N,N,N,Y
178,Rank Scores,Medium,N,N,N,Y
179,Largest Number,Medium,N,N,N,N
180,Consecutive Numbers,Medium,N,N,Y,Y
181,Employees Earning More Than Their Managers,Easy,N,N,N,Y
